step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
17,CASH_OUT,476786.38,C2076472694,63197.0,0.0,C1359836169,28076.28,389114.1,0,0
46,TRANSFER,190224.43,C605452726,0.0,0.0,C207619981,616610.5,806834.93,0,0
8,PAYMENT,3522.33,C357063460,32606.0,29083.67,M1934175175,0.0,0.0,0,0
38,CASH_OUT,401494.21,C1948797897,0.0,0.0,C2042648721,1355672.8,1757167.01,0,0
38,TRANSFER,1501882.61,C1202710660,102355.0,0.0,C1592870454,0.0,1501882.61,0,0
23,CASH_IN,464073.75,C1454308924,1455190.98,1919264.73,C571435580,5376198.15,4912124.4,0,0
41,CASH_IN,24584.23,C157628910,51018.0,75602.23,C145285681,845271.59,820687.35,0,0
17,CASH_OUT,231348.04,C338384160,0.0,0.0,C124431540,313963.38,545311.42,0,0
39,CASH_OUT,57507.69,C2061986556,0.0,0.0,C762277956,1726931.82,2090271.35,0,0
15,PAYMENT,17481.82,C101714965,10035.98,0.0,M190572212,0.0,0.0,0,0
16,PAYMENT,9387.45,C349486740,243852.0,234464.55,M1501711976,0.0,0.0,0,0
43,PAYMENT,12936.81,C223100484,860.0,0.0,M1176790501,0.0,0.0,0,0
19,PAYMENT,6288.33,C1897766968,99923.0,93634.67,M225164670,0.0,0.0,0,0
15,PAYMENT,8549.18,C1484695892,16811.0,8261.82,M1951277857,0.0,0.0,0,0
17,TRANSFER,1060482.1,C504787654,40988.0,0.0,C721614400,1017225.96,2886928.21,0,0
39,PAYMENT,12709.6,C1183357080,0.0,0.0,M235650746,0.0,0.0,0,0
38,CASH_OUT,121821.22,C407750293,0.0,0.0,C1695538346,3493302.47,3615123.69,0,0
6,CASH_OUT,9300.22,C602433635,0.0,0.0,C1165398731,19926.0,29226.22,0,0
14,PAYMENT,16650.66,C2046667136,26029.0,9378.34,M571054905,0.0,0.0,0,0
9,CASH_OUT,372789.15,C787826183,1078.0,0.0,C1806793275,143.0,0.0,0,0
41,CASH_IN,88954.11,C1179724442,908092.98,997047.08,C1345003528,1474019.33,1385065.23,0,0
44,PAYMENT,3659.08,C1975479030,0.0,0.0,M697079081,0.0,0.0,0,0
38,CASH_OUT,278623.1,C1567485036,20407.0,0.0,C1124908389,0.0,278623.1,0,0
12,PAYMENT,14547.45,C1793151203,15800.0,1252.55,M1077956126,0.0,0.0,0,0
15,PAYMENT,12591.59,C487357574,0.0,0.0,M683196537,0.0,0.0,0,0
44,CASH_OUT,47011.57,C90791908,22412.0,0.0,C2079256298,1155036.82,1202048.39,0,0
24,CASH_OUT,315458.7,C1936733099,0.0,0.0,C784565415,565287.06,880745.76,0,0
25,CASH_OUT,44829.81,C1812532920,44829.81,0.0,C1135869087,301552.31,346382.12,1,0
6,PAYMENT,10734.12,C1696394747,31449.0,20714.88,M416427727,0.0,0.0,0,0
11,PAYMENT,779.77,C380312513,677.0,0.0,M1902736915,0.0,0.0,0,0
11,CASH_OUT,245835.9,C1552178636,0.0,0.0,C495071437,978789.76,1224625.66,0,0
11,CASH_OUT,99094.84,C1227978070,0.0,0.0,C2036368507,1600422.52,1651256.56,0,0
15,CASH_OUT,200779.81,C1242892127,101157.32,0.0,C767866250,1913256.12,2817682.28,0,0
16,PAYMENT,48837.82,C1741327156,0.0,0.0,M1091506820,0.0,0.0,0,0
11,PAYMENT,19022.08,C753322542,0.0,0.0,M1643986347,0.0,0.0,0,0
17,PAYMENT,4079.95,C124728752,14926.0,10846.05,M380601882,0.0,0.0,0,0
20,CASH_IN,6260.07,C690844448,30000000.0,30000000.0,C1940814518,389896.43,268681.29,0,0
10,CASH_OUT,111498.44,C802190087,0.0,0.0,C2120740214,672146.82,706592.98,0,0
42,CASH_OUT,63346.7,C1877374624,0.0,0.0,C1874333439,145433.27,208779.97,0,0
33,CASH_OUT,336779.57,C1950323083,0.0,0.0,C1812223930,1887847.37,2224626.93,0,0
20,TRANSFER,60098.99,C513698782,279575.37,219476.37,C91844285,1110365.11,1170464.1,0,0
14,CASH_OUT,147170.59,C1490604679,0.0,0.0,C34973797,2267961.68,2415132.26,0,0
13,CASH_OUT,271206.04,C75368416,11906.0,0.0,C1433166426,807915.86,1113903.42,0,0
16,PAYMENT,11948.24,C1744654091,665.0,0.0,M756902389,0.0,0.0,0,0
19,CASH_OUT,194358.24,C1125060070,7905.0,0.0,C1423594981,305181.04,522405.5,0,0
9,PAYMENT,38205.04,C2062398679,840.49,0.0,M381695655,0.0,0.0,0,0
40,CASH_IN,251992.85,C120906063,366.0,252358.85,C837933230,34025.18,121204.89,0,0
42,CASH_IN,358450.7,C624490326,571257.0,929707.7,C1639581278,421821.0,63370.3,0,0
19,PAYMENT,1882.02,C1059325475,21426.0,19543.98,M963194345,0.0,0.0,0,0
14,CASH_OUT,8448.13,C988249476,0.0,0.0,C1441051345,992084.92,1059965.8,0,0
45,CASH_OUT,220505.43,C1314747471,0.0,0.0,C477437906,514335.01,734840.44,0,0
8,PAYMENT,18269.34,C267033047,20426.23,2156.89,M1057827479,0.0,0.0,0,0
14,CASH_OUT,71148.86,C217997019,0.0,0.0,C788418516,74509.93,145658.78,0,0
44,CASH_OUT,315548.97,C1368461362,0.0,0.0,C2112546378,6000067.75,6315616.73,0,0
19,CASH_OUT,54285.77,C2112923303,14220.86,0.0,C1244949744,196.0,346299.57,0,0
